Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (count),Body Fat Percentage (%),Body Mass Index (count),Carbohydrates (g),Dietary Energy (kcal),Lean Body Mass (lb),Protein (g),Resting Heart Rate (count/min),Step Count (count),Total Fat (g),Weight & Body Mass (lb) 
2023-01-01 00:00:00,578.43,35,,14.9,26.8,,,164.6,,61,3138,,193.4 
2023-01-02 00:00:00,897.35,35,,14.74,26.6,,,163.6,,52,5074,,191.8 
2023-01-03 00:00:00,718.88,52,,14.53,26.3,,,162.2,,56,7489,,189.8 
2023-01-04 00:00:00,810.94,57,,14.63,26.4,,,162.8,,54,6668,,190.8 
2023-01-05 00:00:00,947.23,81,,14.39,26.1,,,161.4,,58,6383,,188.4 
2023-01-06 00:00:00,503.4,4,,14.23,25.9,,,160.4,,53,5878,,187 
2023-01-07 00:00:00,731.6,54,,14.34,26,,,161,,51,5953,,188 
2023-01-08 00:00:00,606.86,32,,14.35,26.1,,,161.2,,55,3729,,188.2 
2023-01-09 00:00:00,1090,76,,14.34,26.1,,,161.2,,54,8821,,188.2 
2023-01-10 00:00:00,870.57,62,,14.24,25.9,,,160.6,,52,7465,,187.2 
2023-01-11 00:00:00,851.19,37,,14.29,26,,,160.8,,52,8845,,187.6 
2023-01-12 00:00:00,920.75,92,,14.24,25.9,,,160.6,,53,6968,,187.2 
2023-01-13 00:00:00,431.09,5,,14.28,25.9,,,160.6,,48,5379,,187.4 
2023-01-14 00:00:00,420.57,10,,14.24,25.9,,,160.6,,48,3463,,187.2 
2023-01-15 00:00:00,679.09,50,,14.34,26,,,161,,51,6387,,188 
2023-01-16 00:00:00,891.48,60,,14.29,26,,,160.8,,50,7892,,187.8 
2023-01-17 00:00:00,838.31,60,,14.33,26,,,161,,51,5422,,188 
2023-01-18 00:00:00,744.08,38,,14.39,26.1,,,161.4,,49,8544,,188.4 
2023-01-19 00:00:00,1018,93,,14.18,25.8,,,160,,47,7638,,186.6 
2023-01-20 00:00:00,567.82,15,,14.18,25.8,,,160.2,,45,6742,,186.6 
2023-01-21 00:00:00,786.18,66,,14.19,25.9,,,160.2,,50,6867,,186.8 
2023-01-22 00:00:00,401.04,,,14.19,25.9,,,160.4,,50,3151,,186.8 
2023-01-23 00:00:00,951.08,64,,14.19,25.9,,,160.2,,53,6500,,186.8 
2023-01-24 00:00:00,892.07,68,,14.13,25.8,,,159.8,,54,5049,,186 
2023-01-25 00:00:00,808.1,36,,14.08,25.7,,,159.4,,50,9402,,185.6 
2023-01-26 00:00:00,323.63,7,,13.88,25.4,,,158.2,,52,2378,,183.8 
2023-01-27 00:00:00,776.17,66,,13.93,25.5,,,158.6,,52,5334,,184.4 
2023-01-28 00:00:00,946.19,48,,13.98,25.6,,,159,,52,10784,,184.8 
2023-01-29 00:00:00,605.43,51,,13.94,25.5,,,158.8,,53,4965,,184.4 
2023-01-30 00:00:00,678.73,57,,13.98,25.6,,,158.8,,47,3126,,184.6 
2023-01-31 00:00:00,376.57,1,,14.03,25.6,,,159.2,,47,1755,,185 
2023-02-01 00:00:00,297.9,3,,13.98,25.6,,,159,,49,1882,,184.8 
2023-02-02 00:00:00,473.88,2,,13.94,25.5,,,158.8,,49,5004,,184.4 
2023-02-03 00:00:00,448.31,5,,13.79,25.4,,,157.8,,48,4499,,183 
2023-02-04 00:00:00,852.98,32,,13.69,25.2,,,157.2,,47,6028,,182 
2023-02-05 00:00:00,372.6,3,,13.88,25.4,,,158.2,,50,4314,,183.6 
2023-02-06 00:00:00,798.43,79,,13.84,25.4,,,158,,47,4660,,183.4 
2023-02-07 00:00:00,1079,92,,13.73,25.3,,,157.4,,49,7713,,182.4 
2023-02-08 00:00:00,335.57,2,,13.69,25.2,,,157.2,,44,2462,,182 
2023-02-09 00:00:00,871.68,62,,13.84,25.4,,,158,,47,7556,,183.4 
2023-02-10 00:00:00,413.17,1,,13.78,25.3,,,157.6,,47,4093,,182.8 
2023-02-11 00:00:00,980.72,100,,13.59,25.1,,,156.6,,51,5084,,181.2 
2023-02-12 00:00:00,773.42,33,,13.58,25,,,156.4,,50,7406,,180.8 
2023-02-13 00:00:00,381.91,1,,13.28,24.7,,,154.6,,53,4294,,178.2 
2023-02-14 00:00:00,817.44,62,,13.43,24.8,,,155.4,,49,7347,,179.4 
2023-02-15 00:00:00,237.44,1,,13.55,25,,,156.2,,49,1850,,180.8 
2023-02-16 00:00:00,905.74,64,,13.58,25.1,,,156.4,,51,7845,,181 
2023-02-17 00:00:00,724.55,59,,13.64,25.1,,,156.8,,52,5375,,181.6 
2023-02-18 00:00:00,932.67,42,,13.73,25.3,,,157.4,,54,10384,,182.4 
2023-02-19 00:00:00,746.82,64,,13.7,25.2,,,157.2,,52,4826,,182.2 
2023-02-20 00:00:00,305.8,2,,13.63,25.1,,,156.8,,52,1714,,181.4 
2023-02-21 00:00:00,947.57,57,,13.43,24.9,,,155.4,,51,7338,,179.6 
2023-02-22 00:00:00,278.75,1,,13.49,25,,,156,,54,1732,,180.4 
2023-02-23 00:00:00,751.26,66,,13.39,24.8,,,155.4,,52,4579,,179.4 
2023-02-24 00:00:00,830.59,93,,13.44,24.9,,,155.6,,50,6772,,179.8 
2023-02-25 00:00:00,249.17,2,,13.48,24.9,,,155.8,,51,1964,,180.2 
2023-02-26 00:00:00,856.26,62,,13.63,25.1,,,156.8,,54,5547,,181.4 
2023-02-27 00:00:00,384.71,1,,13.78,25.3,,,157.6,,52,4012,,182.8 
2023-02-28 00:00:00,1048,69,,13.74,25.3,,,157.6,,53,10083,,182.6 
2023-03-01 00:00:00,724.84,67,,13.53,25,,,156.2,,55,4279,,180.6 
2023-03-02 00:00:00,506,2,,13.49,25,,,156,,50,6091,,180.4 
2023-03-03 00:00:00,839.1,61,,13.38,24.8,,,155.2,,49,5328,,179.2 
2023-03-04 00:00:00,949.05,41,,13.43,24.8,,,155.4,,54,9976,,179.4 
2023-03-05 00:00:00,397.5,2,,13.39,24.8,,,155.2,,52,3990,,179.2 
2023-03-06 00:00:00,391.78,,,13.59,25.1,,,156.6,,53,3624,,181.2 
2023-03-07 00:00:00,953.58,65,,13.59,25.1,,,156.6,,55,8843,,181.2 
2023-03-08 00:00:00,885.44,81,,13.64,25.2,,,156.8,,52,6781,,181.6 
2023-03-09 00:00:00,534.14,2,,13.58,25,,,156.4,,52,5889,,180.8 
2023-03-10 00:00:00,796.79,67,,13.68,25.2,,,157,,48,6425,,182 
2023-03-11 00:00:00,1023,51,,13.68,25.2,,,157,,55,13070,,182 
2023-03-12 00:00:00,842.17,68,,13.94,25.5,,,158.8,,53,7469,,184.6 
2023-03-13 00:00:00,712.96,39,,13.68,25.2,,,157,,48,4305,,181.8 
2023-03-14 00:00:00,692.46,47,,13.59,25.1,,,156.6,,46,6621,,181.2 
2023-03-15 00:00:00,799.38,75,,13.63,25.1,,,156.6,,47,4675,,181.4 
2023-03-16 00:00:00,645,19,,13.5,25,,,156.17,,49,8106,,180.56 
2023-03-17 00:00:00,844.84,81,,13.5,25,,,155.99,,48,6954,,180.42 
2023-03-18 00:00:00,1093,93,,13.5,25,,,156,,51,9828,,180.34 
2023-03-19 00:00:00,891.92,45,,13.5,25,,,156.09,,52,10614,,180.45 
2023-03-20 00:00:00,485.82,6,,13.5,25,,,156,,47,5277,,180.34 
2023-03-21 00:00:00,982.46,93,,13.77,25.3,,,157.4,,46,8202,,182.6 
2023-03-22 00:00:00,1032,91,,13.9,25.4,,,158.11,,50,8804,,183.64 
2023-03-23 00:00:00,659.91,35,,13.7,25.3,,,157.54,,46,4706,,182.54 
2023-03-24 00:00:00,844.53,88,,13.6,25,,,156.2,,50,6632,,180.78 
2023-03-25 00:00:00,951.64,100,,13.5,25,,,155.89,,47,7559,,180.23 
2023-03-26 00:00:00,596.42,27,,13.6,25,,,156.2,,45,6731,,180.78 
2023-03-27 00:00:00,874.42,66,,13.6,25.1,,,156.48,,40,6174,,181.11 
2023-03-28 00:00:00,862.9,100,,13.5,24.9,,,155.8,,49,6301,,180.12 
2023-03-29 00:00:00,782.49,30,,13.5,25,,,156.17,,48,8972,,180.56 
2023-03-30 00:00:00,746.27,75,,13.5,25,,,155.89,,48,3662,,180.23 
2023-03-31 00:00:00,780.32,33,,13.4,24.9,,,155.6,,48,9062,,179.67 
2023-04-01 00:00:00,805.87,68,,13.5,25,,,156.09,,47,7258,,180.45 
2023-04-02 00:00:00,449.13,15,,13.5,25,,,156.28,,49,4290,,180.67 
2023-04-03 00:00:00,1111,89,,13.5,25,,,156.17,,51,10304,,180.56 
2023-04-04 00:00:00,731.15,59,,13.5,24.9,,,155.6,,50,6849,,179.9 
2023-04-05 00:00:00,671.11,30,,13.4,24.8,,,155.23,,49,7653,,179.23 
2023-04-06 00:00:00,682.73,43,,13.6,25,,,156.2,,46,5367,,180.78 
2023-04-07 00:00:00,1092,92,,13.5,24.9,,,155.71,,48,10079,,180.01 
2023-04-08 00:00:00,574.36,11,,13.4,24.8,,,155.23,,49,7710,,179.23 
2023-04-09 00:00:00,322.72,,,13.4,24.9,,,155.6,,50,3877,,179.67 
2023-04-10 00:00:00,1460,115,,13.4,24.8,,,155.31,,52,12851,,179.34 
2023-04-11 00:00:00,755.93,59,,13.3,24.7,,,154.72,,50,6891,,178.46 
2023-04-12 00:00:00,834.43,37,,13.6,25,,,156.2,,49,9512,,180.78 
2023-04-13 00:00:00,853.82,101,,13.6,25.1,,,156.86,,50,10270,,181.55 
2023-04-14 00:00:00,1253,86,,13.6,25,,,156.2,,47,14019,,180.78 
2023-04-15 00:00:00,454.8,7,,13.5,25,,,156,,50,3833,,180.34 
2023-04-16 00:00:00,790.22,65,,13.4,24.8,,,155.23,,49,7231,,179.23 
2023-04-17 00:00:00,821.94,45,,13.4,24.8,,,155.23,,46,7421,,179.23 
2023-04-18 00:00:00,371.68,,,13.4,24.8,,,154.94,,50,3243,,178.9 
2023-04-19 00:00:00,1148,84,,13.4,24.8,,,155.31,,52,14140,,179.34 
2023-04-20 00:00:00,486.95,5,,13.4,24.8,,,155.03,,49,3691,,179.01 
2023-04-21 00:00:00,956.31,58,,13.3,24.7,,,154.83,,51,9251,,178.57 
2023-04-22 00:00:00,446.95,6,,13.4,24.9,,,155.4,,49,5042,,179.45 
2023-04-23 00:00:00,339.93,14,,13.7,25.3,,,157.54,,47,2664,,182.54 
2023-04-24 00:00:00,639.1,61,,13.6,25.1,,,156.37,,47,3925,,181 
2023-04-25 00:00:00,803.91,57,,13.7,25.2,,,156.86,,50,6896,,181.77 
2023-04-26 00:00:00,772.94,35,,13.6,25.1,,,156.86,,48,4553,,181.55 
2023-04-27 00:00:00,667.52,43,,13.6,25.1,,,156.77,,48,4681,,181.44 
2023-04-28 00:00:00,604.76,37,,13.7,25.2,,,156.86,,49,5590,,181.77 
2023-04-29 00:00:00,823.06,47,,13.5,24.9,,,155.6,,57,11335,,179.9 
2023-04-30 00:00:00,486.57,5,,13.5,25,,,156,,49,7236,,180.34 
2023-05-01 00:00:00,467.83,5,,13.5,25,,,156.09,,46,6534,,180.45 
2023-05-02 00:00:00,755.22,73,,13.5,24.9,,,155.8,,51,6862,,180.12 
2023-05-03 00:00:00,640.59,41,,13.4,24.8,,,154.94,,49,6738,,178.9 
2023-05-04 00:00:00,540.57,34,,13.3,24.7,,,154.54,,49,5441,,178.24 
2023-05-05 00:00:00,560.59,55,,13.5,24.9,,,155.71,,47,3506,,180.01 
2023-05-06 00:00:00,780.2,38,,13.5,24.9,,,155.6,,48,9417,,179.9 
2023-05-07 00:00:00,319.92,2,,13.6,25.1,,,156.57,,47,2724,,181.22 
2023-05-08 00:00:00,733.16,59,,13.6,25.1,,,156.86,,49,7504,,181.55 
2023-05-09 00:00:00,858.22,76,,13.5,25,,,156.09,,53,9850,,180.45 
2023-05-10 00:00:00,524.59,7,,13.5,25,,,156.09,,48,5082,,180.45 
2023-05-11 00:00:00,941.46,71,,13.5,24.9,,,155.6,,49,8196,,179.9 
2023-05-12 00:00:00,1017,65,,13.4,24.8,,,155.23,,48,11260,,179.23 
2023-05-13 00:00:00,680.6,77,,13.4,24.9,,,155.6,,49,5037,,179.67 
2023-05-14 00:00:00,356.46,6,,13.3,25,,,,,48,3196,,180.2 
2023-05-15 00:00:00,1391,129,,13.6,25.1,,,156.66,,54,9553,,181.33 
2023-05-16 00:00:00,714.14,35,,13.6,25,,,156.2,,59,8108,,180.78 
2023-05-17 00:00:00,820.6,35,,13.5,24.9,,,155.71,,53,10132,,180.01 
2023-05-18 00:00:00,847.55,73,,13.4,24.8,,,155.23,,53,6816,,179.23 
2023-05-19 00:00:00,639.57,37,,13.5,24.9,,,155.6,,49,5689,,179.9 
2023-05-20 00:00:00,463.39,4,,13.5,24.9,,,155.8,,47,6334,,180.12 
2023-05-21 00:00:00,1690,105,,,,,,,,52,12303,, 
2023-05-22 00:00:00,798.19,67,,13.5,24.9,,,155.8,,51,7484,,180.12 
2023-05-23 00:00:00,812.59,31,,13.4,24.9,,,155.4,,50,9630,,179.45 
2023-05-24 00:00:00,628.98,46,,13.4,24.9,,,155.51,,51,3759,,179.56 
2023-05-25 00:00:00,35.47,,,13.2,24.6,,,154.15,,,749,,177.58 
