Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Traditional Strength Training,2023-05-24 06:41,2023-05-24 07:20,00:39:35,307.55,213.9,149,105.53,,,643,0.271,,,,,
Running,2023-05-23 17:12,2023-05-23 17:37,00:25:15,357.52,288.19,167,146.23,2.26,5.37,3524,2.32,,,,,
Traditional Strength Training,2023-05-22 13:34,2023-05-22 14:38,01:03:29,442.07,309.81,147,91.51,,,692,0.182,,,,,
Running,2023-05-21 08:33,2023-05-21 09:04,00:30:32,496.25,417.49,174,163.72,3.02,5.93,4610,2.52,,,2.0,47.34,
Other,2023-05-21 08:32,2023-05-21 08:33,00:01:41,23.81,20.96,167,164.13,,,192,1.88,,,,,
Cycling,2023-05-21 07:44,2023-05-21 08:32,00:47:11,667.67,585.09,173,155.41,12.76,16.22,2579,0.911,,,,381.17,
Other,2023-05-21 07:43,2023-05-21 07:44,00:01:23,18.44,15.9,163,153.54,,,45,0.539,,,,,
Running,2023-05-21 07:33,2023-05-21 07:43,00:09:27,125.4,108.29,164,148.25,0.951,6.03,2024,3.57,,,,,
Traditional Strength Training,2023-05-19 06:11,2023-05-19 06:44,00:32:15,227.38,148.97,128,87.93,,,316,0.163,,,,,
Traditional Strength Training,2023-05-18 06:56,2023-05-18 08:13,01:09:26,516.52,366.68,148,93.95,,,1038,0.249,,,,,
Running,2023-05-17 06:28,2023-05-17 06:58,00:30:06,431.31,356.37,162,146.78,2.72,5.42,4261,2.36,,,,,
Traditional Strength Training,2023-05-16 07:02,2023-05-16 07:34,00:32:03,244.52,164.78,137,101.75,,,729,0.379,,,,,
Cycling,2023-05-15 09:34,2023-05-15 10:07,00:33:51,372.86,286.74,158,128.14,7.37,13.06,124,0.061,,,,167.62,
Running,2023-05-15 07:59,2023-05-15 08:25,00:25:08,391.23,322.05,172,157.93,2.32,5.53,3662,2.43,,,,,
Traditional Strength Training,2023-05-15 06:59,2023-05-15 07:59,00:59:40,445.59,345.79,155,107.14,,,1038,0.29,,,,,
Running,2023-05-13 19:56,2023-05-13 20:09,00:13:00,156.37,110.67,151,115.31,0.932,4.3,1554,1.99,,,,,
Bowling,2023-05-13 16:49,2023-05-13 17:45,00:55:48,366.18,253.45,86,59.58,0.164,0.176,309,0.092,,,,,
Running,2023-05-12 18:03,2023-05-12 18:31,00:27:06,428.13,355.04,184,166.62,2.63,5.83,3899,2.4,,,,,
Traditional Strength Training,2023-05-11 13:49,2023-05-11 14:48,00:58:17,518.84,392.5,160,117.48,,,1121,0.321,,,,,
Traditional Strength Training,2023-05-09 07:37,2023-05-09 08:22,00:45:10,357.04,254.76,144,108.24,,,617,0.228,,,,,
Running,2023-05-09 07:04,2023-05-09 07:30,00:25:47,317.05,271.6,166,141.77,2.24,5.2,3644,2.36,,,,,
Traditional Strength Training,2023-05-08 10:09,2023-05-08 10:59,00:49:53,358.66,251.29,142,95.67,,,648,0.216,,,,,
Running,2023-05-06 07:57,2023-05-06 08:27,00:30:12,463.66,385.36,176,161.77,2.8,5.55,4391,2.42,,,1.0,33.17,
Traditional Strength Training,2023-05-05 11:36,2023-05-05 12:28,00:51:50,353.27,242.06,128,90.1,,,1407,0.452,,,,,
Traditional Strength Training,2023-05-04 07:22,2023-05-04 07:54,00:31:58,230.53,152.52,138,92.41,,,247,0.129,,,,,
Traditional Strength Training,2023-05-03 07:27,2023-05-03 08:00,00:32:58,223.96,144.09,117,83.04,,,770,0.389,,,,,
Preparation and Recovery,2023-05-02 08:59,2023-05-02 09:09,00:10:00,75.08,34,91,79.19,,,,,,,,,
Traditional Strength Training,2023-05-02 06:55,2023-05-02 07:54,00:59:01,409.57,287.9,149,96.83,,,917,0.259,,,,,
Running,2023-04-29 08:31,2023-04-29 09:00,00:28:56,444.04,368.35,183,168.43,3.14,6.51,4279,2.46,,,,,
Traditional Strength Training,2023-04-28 10:58,2023-04-28 11:29,00:30:21,219.17,142.91,133,89.05,,,325,0.178,,,,,
Traditional Strength Training,2023-04-27 06:32,2023-04-27 07:14,00:41:27,287.07,195.41,131,87.27,,,840,0.338,,,,,
Cycling,2023-04-26 08:04,2023-04-26 08:34,00:30:09,369.43,316,139,117.02,8.81,17.53,243,0.134,,,,,
Cycling,2023-04-25 18:31,2023-04-25 18:51,00:20:00,232.83,173,147,112.38,5.43,16.29,,,,,,,
Traditional Strength Training,2023-04-25 06:44,2023-04-25 07:12,00:27:41,193.99,126.01,127,91.13,,,540,0.325,,,,,
Traditional Strength Training,2023-04-24 11:42,2023-04-24 12:37,00:55:35,382.24,268.59,137,88.83,,,785,0.235,,,,,
Running,2023-04-21 15:16,2023-04-21 15:22,00:05:58,38.3,6.18,84,74.38,,,,,,,,,
Running,2023-04-21 12:15,2023-04-21 12:43,00:27:40,382.69,334,180,162.01,2.28,4.93,3887,2.34,,,,,
Traditional Strength Training,2023-04-21 11:14,2023-04-21 11:40,00:26:16,226.93,180.77,143,117.84,,,817,0.518,,,,,
Running,2023-04-19 11:32,2023-04-19 12:00,00:27:07,321.01,272.7,161,132.75,2.09,4.61,3605,2.22,,,,,
Traditional Strength Training,2023-04-19 06:46,2023-04-19 07:31,00:44:31,329.47,228.74,165,102.67,,,1192,0.446,,,,,
Traditional Strength Training,2023-04-17 06:34,2023-04-17 07:13,00:39:11,288.78,199.04,139,99.25,,,859,0.365,,,,,
Traditional Strength Training,2023-04-16 10:55,2023-04-16 11:56,01:01:25,453.21,327.53,153,96.91,,,1087,0.295,,,,,
Running,2023-04-14 07:43,2023-04-14 08:24,00:40:18,610.13,513.21,170,155.22,3.42,5.1,5790,2.39,,,,,
Traditional Strength Training,2023-04-14 06:58,2023-04-14 07:38,00:40:28,264.88,195.76,143,91.73,,,790,0.325,,,,,
Walking,2023-04-13 14:03,2023-04-13 14:18,00:15:20,115.02,64.11,93,80,0.695,2.72,973,1.06,,,,31.14,
Walking,2023-04-13 12:21,2023-04-13 12:35,00:13:49,112.97,65.42,97,85.19,0.645,2.8,1324,1.6,,,,23.59,
Walking,2023-04-13 12:09,2023-04-13 12:19,00:09:57,65.48,47.54,92,85.15,0.464,2.79,920,1.54,,,,6.96,
Traditional Strength Training,2023-04-13 08:05,2023-04-13 09:00,00:55:02,378.88,265.3,141,90.58,,,725,0.22,,,,,
Running,2023-04-12 13:52,2023-04-12 13:55,00:02:44,36.45,31.06,165,154.96,0.258,5.64,398,2.42,,,,18.24,
High Intensity Interval Training,2023-04-12 13:34,2023-04-12 13:49,00:15:01,187.43,160.73,170,136.15,,,1613,1.79,,,,,
Running,2023-04-12 13:22,2023-04-12 13:32,00:10:17,123.69,105.17,149,138.29,0.884,5.15,1451,2.35,,,,10.04,
Traditional Strength Training,2023-04-11 06:42,2023-04-11 07:36,00:53:38,423.31,308.66,155,106.42,,,1380,0.429,,,,,
Traditional Strength Training,2023-04-10 08:14,2023-04-10 09:14,00:59:03,518.73,395.57,166,117.37,,,1185,0.334,,,,,
Running,2023-04-10 06:27,2023-04-10 07:11,00:43:43,637.45,536.42,178,152.6,4.07,5.58,6454,2.46,,,,,
Running,2023-04-07 10:07,2023-04-07 10:37,00:30:37,432.4,352.68,164,144.24,2.69,5.26,4470,2.43,,,,,
Traditional Strength Training,2023-04-07 08:30,2023-04-07 09:26,00:55:40,418.71,301.25,147,100.36,,,1525,0.457,,,,,
Traditional Strength Training,2023-04-06 06:13,2023-04-06 06:50,00:37:08,280.72,195.98,157,100.61,,,950,0.426,,,,,
Running,2023-04-05 07:08,2023-04-05 07:35,00:26:48,374.96,306.01,168,143.07,2.3,5.14,3808,2.37,,,,,
Traditional Strength Training,2023-04-04 07:18,2023-04-04 08:06,00:48:35,333.18,251.42,148,97.82,,,1089,0.374,,,,,
Traditional Strength Training,2023-04-03 12:30,2023-04-03 13:26,00:56:00,394.6,279.13,144,96.32,,,1015,0.302,,,,,
Running,2023-04-03 06:30,2023-04-03 06:57,00:27:18,377.88,306.44,165,139.99,2.36,5.18,3866,2.36,,,,,
Cycling,2023-04-02 16:02,2023-04-02 16:09,00:06:43,64.18,30.32,104,103.25,0.853,7.61,47,0.116,,,,44.98,
Cycling,2023-04-02 13:26,2023-04-02 13:39,00:12:45,84.51,42.62,107,81.69,1.22,5.72,130,0.17,,,,24.08,
