Date,Active Energy (kcal)_x,Apple Exercise Time (min),Body Fat Percentage (%),Body Mass Index (count),Lean Body Mass (lb),Resting Heart Rate (count/min),Step Count (count)_x,Weight & Body Mass (lb) ,Type,Duration,Total Energy (kcal),Active Energy (kcal)_y,Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count)_y,Step Cadence (spm),calories,protein,carbs,fat
2023-01-02,897.35,35.0,14.74,26.6,163.6,52.0,5074,191.8,Cycling,0:30:00,452.54,374.0,171,138.04,8.5,17.0,77.0,0.043,2157,174g,201g,73g
2023-01-09,1090.0,76.0,14.34,26.1,161.2,54.0,8821,188.2,Traditional Strength Training,1:04:44,579.9,447.04,154,112.13,,,1306.0,0.336,2253,177g,213g,77g
2023-01-16,891.48,60.0,14.29,26.0,160.8,50.0,7892,187.8,Traditional Strength Training,0:51:50,373.31,264.88,153,98.13,,,536.0,0.172,2106,177g,192g,70g
2023-01-17,838.31,60.0,14.33,26.0,161.0,51.0,5422,188,Traditional Strength Training,0:55:46,527.2,405.86,161,114.59,,,886.0,0.265,2106,177g,192g,70g
2023-01-23,951.08,64.0,14.19,25.9,160.2,53.0,6500,186.8,Traditional Strength Training,0:58:42,575.27,456.15,165,117.72,,,877.0,0.249,2009,177g,179g,65g
2023-01-30,678.73,57.0,13.98,25.6,158.8,47.0,3126,184.6,Traditional Strength Training,0:53:52,434.79,315.74,160,105.47,,,1142.0,0.353,1971,177g,174g,63g
2023-02-06,798.43,79.0,13.84,25.4,158.0,47.0,4660,183.4,Traditional Strength Training,1:15:05,543.96,416.29,157,103.58,,,1108.0,0.246,1971,177g,174g,63g
2023-03-13,712.96,39.0,13.68,25.2,157.0,48.0,4305,181.8,Running,0:05:48,99.6,63.72,168,139.37,0.503,5.2,806.0,2.31,2658,154g,281g,102g
2023-03-13,712.96,39.0,13.68,25.2,157.0,48.0,4305,181.8,Cycling,0:30:00,385.23,308.0,156,124.53,8.41,16.82,339.0,0.188,2658,154g,281g,102g
2023-03-27,874.42,66.0,13.6,25.1,156.48,40.0,6174,181.11,Traditional Strength Training,0:20:08,144.91,92.14,103,77.77,,,9.0,0.007,2751,154g,293g,107g
2023-03-27,874.42,66.0,13.6,25.1,156.48,40.0,6174,181.11,Traditional Strength Training,0:42:52,288.85,215.72,149,93.28,,,599.0,0.233,2751,154g,293g,107g
2023-04-03,1111.0,89.0,13.5,25.0,156.17,51.0,10304,180.56,Traditional Strength Training,0:56:00,394.6,279.13,144,96.32,,,1015.0,0.302,2835,154g,305g,111g
2023-04-03,1111.0,89.0,13.5,25.0,156.17,51.0,10304,180.56,Running,0:27:18,377.88,306.44,165,139.99,2.36,5.18,3866.0,2.36,2835,154g,305g,111g
2023-04-10,1460.0,115.0,13.4,24.8,155.31,52.0,12851,179.34,Traditional Strength Training,0:59:03,518.73,395.57,166,117.37,,,1185.0,0.334,2873,154g,310g,113g
2023-04-10,1460.0,115.0,13.4,24.8,155.31,52.0,12851,179.34,Running,0:43:43,637.45,536.42,178,152.6,4.07,5.58,6454.0,2.46,2873,154g,310g,113g
2023-04-17,821.94,45.0,13.4,24.8,155.23,46.0,7421,179.23,Traditional Strength Training,0:39:11,288.78,199.04,139,99.25,,,859.0,0.365,2915,154g,316g,115g
2023-04-24,639.1,61.0,13.6,25.1,156.37,47.0,3925,181,Traditional Strength Training,0:55:35,382.24,268.59,137,88.83,,,785.0,0.235,2953,154g,321g,117g
2023-05-08,733.16,59.0,13.6,25.1,156.86,49.0,7504,181.55,Traditional Strength Training,0:49:53,358.66,251.29,142,95.67,,,648.0,0.216,3012,154g,329g,120g
2023-05-15,1391.0,129.0,13.6,25.1,156.66,54.0,9553,181.33,Cycling,0:33:51,372.86,286.74,158,128.14,7.37,13.06,124.0,0.061,3012,154g,329g,120g
2023-05-15,1391.0,129.0,13.6,25.1,156.66,54.0,9553,181.33,Running,0:25:08,391.23,322.05,172,157.93,2.32,5.53,3662.0,2.43,3012,154g,329g,120g
2023-05-15,1391.0,129.0,13.6,25.1,156.66,54.0,9553,181.33,Traditional Strength Training,0:59:40,445.59,345.79,155,107.14,,,1038.0,0.29,3012,154g,329g,120g
2023-05-22,798.19,67.0,13.5,24.9,155.8,51.0,7484,180.12,Traditional Strength Training,1:03:29,442.07,309.81,147,91.51,,,692.0,0.182,3012,154g,329g,120g
