Date,Active Energy (kcal)_x,Apple Exercise Time (min),Body Fat Percentage (%),Body Mass Index (count),Lean Body Mass (lb),Resting Heart Rate (count/min),Step Count (count)_x,Weight & Body Mass (lb) ,Type,Duration,Total Energy (kcal),Active Energy (kcal)_y,Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count)_y,Step Cadence (spm),calories,protein,carbs,fat
2023-01-01,578.43,35.0,14.9,26.8,164.6,61.0,3138,193.4,Yoga,0:10:22,70.66,51.0,104,87.96,,,,,,,,
2023-01-01,578.43,35.0,14.9,26.8,164.6,61.0,3138,193.4,Cycling,0:20:00,236.26,192.0,143,120.16,5.34,16.02,62.0,0.052,,,,
2023-01-02,897.35,35.0,14.74,26.6,163.6,52.0,5074,191.8,Cycling,0:30:00,452.54,374.0,171,138.04,8.5,17.0,77.0,0.043,2157.0,174g,201g,73g
2023-01-03,718.88,52.0,14.53,26.3,162.2,56.0,7489,189.8,Traditional Strength Training,0:48:24,347.35,235.45,123,94.0,,,661.0,0.228,,,,
2023-01-04,810.94,57.0,14.63,26.4,162.8,54.0,6668,190.8,Traditional Strength Training,0:51:53,338.17,252.43,132,94.3,,,1054.0,0.339,,,,
2023-01-05,947.23,81.0,14.39,26.1,161.4,58.0,6383,188.4,Cycling,0:15:00,226.58,177.0,170,133.61,4.38,17.52,72.0,0.08,,,,
2023-01-05,947.23,81.0,14.39,26.1,161.4,58.0,6383,188.4,Traditional Strength Training,1:01:58,480.16,354.75,148,103.47,,,1168.0,0.314,,,,
2023-01-07,731.6,54.0,14.34,26.0,161.0,51.0,5953,188,Traditional Strength Training,0:49:07,392.48,294.51,158,104.69,,,844.0,0.286,,,,
2023-01-08,606.86,32.0,14.35,26.1,161.2,55.0,3729,188.2,Cycling,0:10:01,131.93,90.0,129,113.98,2.72,16.29,30.0,0.05,,,,
2023-01-08,606.86,32.0,14.35,26.1,161.2,55.0,3729,188.2,Cycling,0:20:03,233.68,173.0,134,112.81,5.75,17.21,76.0,0.063,,,,
2023-01-09,1090.0,76.0,14.34,26.1,161.2,54.0,8821,188.2,Traditional Strength Training,1:04:44,579.9,447.04,154,112.13,,,1306.0,0.336,2253.0,177g,213g,77g
2023-01-10,870.57,62.0,14.24,25.9,160.6,52.0,7465,187.2,Traditional Strength Training,0:56:24,472.29,357.73,150,103.24,,,953.0,0.282,,,,
2023-01-11,851.19,37.0,14.29,26.0,160.8,52.0,8845,187.6,Running,0:10:00,158.9,119.0,172,136.57,0.54,3.24,347.0,0.578,,,,
2023-01-11,851.19,37.0,14.29,26.0,160.8,52.0,8845,187.6,Running,0:20:00,297.76,261.0,174,140.87,1.62,4.86,1255.0,1.05,,,,
2023-01-12,920.75,92.0,14.24,25.9,160.6,53.0,6968,187.2,Traditional Strength Training,1:26:27,619.54,458.68,149,99.56,,,998.0,0.192,,,,
2023-01-15,679.09,50.0,14.34,26.0,161.0,51.0,6387,188,Traditional Strength Training,0:42:15,350.8,261.31,150,108.19,,,1195.0,0.471,,,,
2023-01-16,891.48,60.0,14.29,26.0,160.8,50.0,7892,187.8,Traditional Strength Training,0:51:50,373.31,264.88,153,98.13,,,536.0,0.172,2106.0,177g,192g,70g
2023-01-17,838.31,60.0,14.33,26.0,161.0,51.0,5422,188,Traditional Strength Training,0:55:46,527.2,405.86,161,114.59,,,886.0,0.265,2106.0,177g,192g,70g
2023-01-18,744.08,38.0,14.39,26.1,161.4,49.0,8544,188.4,Walking,0:30:00,400.07,344.0,166,127.43,2.16,4.32,3721.0,2.07,,,,
2023-01-19,1018.0,93.0,14.18,25.8,160.0,47.0,7638,186.6,Traditional Strength Training,1:26:49,628.75,487.54,153,101.73,,,1317.0,0.253,,,,
2023-01-20,567.82,15.0,14.18,25.8,160.2,45.0,6742,186.6,Walking,0:10:49,87.0,51.43,88,78.25,0.491,2.72,609.0,0.938,,,,
2023-01-21,786.18,66.0,14.19,25.9,160.2,50.0,6867,186.8,Traditional Strength Training,0:15:39,117.7,75.26,119,98.5,,,350.0,0.373,,,,
2023-01-21,786.18,66.0,14.19,25.9,160.2,50.0,6867,186.8,Traditional Strength Training,0:36:10,264.9,194.85,142,98.2,,,348.0,0.16,,,,
