Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm)
Traditional Strength Training,5/24/2023 6:41,5/24/2023 7:20,0:39:35,307.55,213.9,149,105.53,,,643,0.271
Running,5/23/2023 17:12,5/23/2023 17:37,0:25:15,357.52,288.19,167,146.23,2.26,5.37,3524,2.32
Traditional Strength Training,5/22/2023 13:34,5/22/2023 14:38,1:03:29,442.07,309.81,147,91.51,,,692,0.182
Running,5/21/2023 8:33,5/21/2023 9:04,0:30:32,496.25,417.49,174,163.72,3.02,5.93,4610,2.52
Other,5/21/2023 8:32,5/21/2023 8:33,0:01:41,23.81,20.96,167,164.13,,,192,1.88
Cycling,5/21/2023 7:44,5/21/2023 8:32,0:47:11,667.67,585.09,173,155.41,12.76,16.22,2579,0.911
Other,5/21/2023 7:43,5/21/2023 7:44,0:01:23,18.44,15.9,163,153.54,,,45,0.539
Running,5/21/2023 7:33,5/21/2023 7:43,0:09:27,125.4,108.29,164,148.25,0.951,6.03,2024,3.57
Traditional Strength Training,5/19/2023 6:11,5/19/2023 6:44,0:32:15,227.38,148.97,128,87.93,,,316,0.163
Traditional Strength Training,5/18/2023 6:56,5/18/2023 8:13,1:09:26,516.52,366.68,148,93.95,,,1038,0.249
Running,5/17/2023 6:28,5/17/2023 6:58,0:30:06,431.31,356.37,162,146.78,2.72,5.42,4261,2.36
Traditional Strength Training,5/16/2023 7:02,5/16/2023 7:34,0:32:03,244.52,164.78,137,101.75,,,729,0.379
Cycling,5/15/2023 9:34,5/15/2023 10:07,0:33:51,372.86,286.74,158,128.14,7.37,13.06,124,0.061
Running,5/15/2023 7:59,5/15/2023 8:25,0:25:08,391.23,322.05,172,157.93,2.32,5.53,3662,2.43
Traditional Strength Training,5/15/2023 6:59,5/15/2023 7:59,0:59:40,445.59,345.79,155,107.14,,,1038,0.29
Running,5/13/2023 19:56,5/13/2023 20:09,0:13:00,156.37,110.67,151,115.31,0.932,4.3,1554,1.99
Bowling,5/13/2023 16:49,5/13/2023 17:45,0:55:48,366.18,253.45,86,59.58,0.164,0.176,309,0.092
Running,5/12/2023 18:03,5/12/2023 18:31,0:27:06,428.13,355.04,184,166.62,2.63,5.83,3899,2.4
Traditional Strength Training,5/11/2023 13:49,5/11/2023 14:48,0:58:17,518.84,392.5,160,117.48,,,1121,0.321
Traditional Strength Training,5/9/2023 7:37,5/9/2023 8:22,0:45:10,357.04,254.76,144,108.24,,,617,0.228
Running,5/9/2023 7:04,5/9/2023 7:30,0:25:47,317.05,271.6,166,141.77,2.24,5.2,3644,2.36
Traditional Strength Training,5/8/2023 10:09,5/8/2023 10:59,0:49:53,358.66,251.29,142,95.67,,,648,0.216
Running,5/6/2023 7:57,5/6/2023 8:27,0:30:12,463.66,385.36,176,161.77,2.8,5.55,4391,2.42
Traditional Strength Training,5/5/2023 11:36,5/5/2023 12:28,0:51:50,353.27,242.06,128,90.1,,,1407,0.452
Traditional Strength Training,5/4/2023 7:22,5/4/2023 7:54,0:31:58,230.53,152.52,138,92.41,,,247,0.129
Traditional Strength Training,5/3/2023 7:27,5/3/2023 8:00,0:32:58,223.96,144.09,117,83.04,,,770,0.389
Preparation and Recovery,5/2/2023 8:59,5/2/2023 9:09,0:10:00,75.08,34,91,79.19,,,,
Traditional Strength Training,5/2/2023 6:55,5/2/2023 7:54,0:59:01,409.57,287.9,149,96.83,,,917,0.259
Running,4/29/2023 8:31,4/29/2023 9:00,0:28:56,444.04,368.35,183,168.43,3.14,6.51,4279,2.46
Traditional Strength Training,4/28/2023 10:58,4/28/2023 11:29,0:30:21,219.17,142.91,133,89.05,,,325,0.178
Traditional Strength Training,4/27/2023 6:32,4/27/2023 7:14,0:41:27,287.07,195.41,131,87.27,,,840,0.338
Cycling,4/26/2023 8:04,4/26/2023 8:34,0:30:09,369.43,316,139,117.02,8.81,17.53,243,0.134
Cycling,4/25/2023 18:31,4/25/2023 18:51,0:20:00,232.83,173,147,112.38,5.43,16.29,,
Traditional Strength Training,4/25/2023 6:44,4/25/2023 7:12,0:27:41,193.99,126.01,127,91.13,,,540,0.325
Traditional Strength Training,4/24/2023 11:42,4/24/2023 12:37,0:55:35,382.24,268.59,137,88.83,,,785,0.235
Running,4/21/2023 15:16,4/21/2023 15:22,0:05:58,38.3,6.18,84,74.38,,,,
Running,4/21/2023 12:15,4/21/2023 12:43,0:27:40,382.69,334,180,162.01,2.28,4.93,3887,2.34
Traditional Strength Training,4/21/2023 11:14,4/21/2023 11:40,0:26:16,226.93,180.77,143,117.84,,,817,0.518
Running,4/19/2023 11:32,4/19/2023 12:00,0:27:07,321.01,272.7,161,132.75,2.09,4.61,3605,2.22
Traditional Strength Training,4/19/2023 6:46,4/19/2023 7:31,0:44:31,329.47,228.74,165,102.67,,,1192,0.446
Traditional Strength Training,4/17/2023 6:34,4/17/2023 7:13,0:39:11,288.78,199.04,139,99.25,,,859,0.365
Traditional Strength Training,4/16/2023 10:55,4/16/2023 11:56,1:01:25,453.21,327.53,153,96.91,,,1087,0.295
Running,4/14/2023 7:43,4/14/2023 8:24,0:40:18,610.13,513.21,170,155.22,3.42,5.1,5790,2.39
Traditional Strength Training,4/14/2023 6:58,4/14/2023 7:38,0:40:28,264.88,195.76,143,91.73,,,790,0.325
Walking,4/13/2023 14:03,4/13/2023 14:18,0:15:20,115.02,64.11,93,80,0.695,2.72,973,1.06
Walking,4/13/2023 12:21,4/13/2023 12:35,0:13:49,112.97,65.42,97,85.19,0.645,2.8,1324,1.6
Walking,4/13/2023 12:09,4/13/2023 12:19,0:09:57,65.48,47.54,92,85.15,0.464,2.79,920,1.54
Traditional Strength Training,4/13/2023 8:05,4/13/2023 9:00,0:55:02,378.88,265.3,141,90.58,,,725,0.22
Running,4/12/2023 13:52,4/12/2023 13:55,0:02:44,36.45,31.06,165,154.96,0.258,5.64,398,2.42
High Intensity Interval Training,4/12/2023 13:34,4/12/2023 13:49,0:15:01,187.43,160.73,170,136.15,,,1613,1.79
Running,4/12/2023 13:22,4/12/2023 13:32,0:10:17,123.69,105.17,149,138.29,0.884,5.15,1451,2.35
Traditional Strength Training,4/11/2023 6:42,4/11/2023 7:36,0:53:38,423.31,308.66,155,106.42,,,1380,0.429
Traditional Strength Training,4/10/2023 8:14,4/10/2023 9:14,0:59:03,518.73,395.57,166,117.37,,,1185,0.334
Running,4/10/2023 6:27,4/10/2023 7:11,0:43:43,637.45,536.42,178,152.6,4.07,5.58,6454,2.46
Running,4/7/2023 10:07,4/7/2023 10:37,0:30:37,432.4,352.68,164,144.24,2.69,5.26,4470,2.43
Traditional Strength Training,4/7/2023 8:30,4/7/2023 9:26,0:55:40,418.71,301.25,147,100.36,,,1525,0.457
Traditional Strength Training,4/6/2023 6:13,4/6/2023 6:50,0:37:08,280.72,195.98,157,100.61,,,950,0.426
Running,4/5/2023 7:08,4/5/2023 7:35,0:26:48,374.96,306.01,168,143.07,2.3,5.14,3808,2.37
Traditional Strength Training,4/4/2023 7:18,4/4/2023 8:06,0:48:35,333.18,251.42,148,97.82,,,1089,0.374
Traditional Strength Training,4/3/2023 12:30,4/3/2023 13:26,0:56:00,394.6,279.13,144,96.32,,,1015,0.302
Running,4/3/2023 6:30,4/3/2023 6:57,0:27:18,377.88,306.44,165,139.99,2.36,5.18,3866,2.36
Cycling,4/2/2023 16:02,4/2/2023 16:09,0:06:43,64.18,30.32,104,103.25,0.853,7.61,47,0.116
Cycling,4/2/2023 13:26,4/2/2023 13:39,0:12:45,84.51,42.62,107,81.69,1.22,5.72,130,0.17
Traditional Strength Training,4/1/2023 11:45,4/1/2023 12:46,1:01:52,394.53,285.92,130,91.88,,,1179,0.318
Running,3/31/2023 10:20,3/31/2023 10:52,0:31:31,444.7,364.81,162,147.15,2.78,5.28,4618,2.44
Traditional Strength Training,3/30/2023 10:27,3/30/2023 11:40,1:12:43,511.79,366.79,151,94.19,,,903,0.207
Running,3/29/2023 6:37,3/29/2023 7:03,0:26:30,349.31,280.5,160,137.51,2.33,5.27,3870,2.43
Traditional Strength Training,3/28/2023 13:31,3/28/2023 15:04,1:32:45,655.7,482.19,146,89.91,,,1331,0.239
Traditional Strength Training,3/27/2023 7:26,3/27/2023 7:46,0:20:08,144.91,92.14,103,77.77,,,9,0.007
Traditional Strength Training,3/27/2023 6:31,3/27/2023 7:14,0:42:52,288.85,215.72,149,93.28,,,599,0.233
Running,3/26/2023 13:17,3/26/2023 13:42,0:25:10,329.03,260.75,151,131.08,2.11,5.04,3534,2.34
Traditional Strength Training,3/25/2023 8:08,3/25/2023 9:43,1:34:47,654.98,473.49,141,98.22,,,1851,0.325
